station_name,lat,lon,scene_id,date,cloud_cover,ndmi_mean,datetime,date_only,year,LON,LAT,TR05,TR25,TR60
Acme,34.60192,-98.22488,LC08_L2SP_028036_20230106_02_T1,2023-01-06 17:08:23.768446+00:00,48.04,,2023-01-06 17:08:23.768446+00:00,2023-01-06,2023,-98.02325,34.80833,1.76,1.67,1.58625
Acme,34.60189,-98.22748,LC09_L2SP_028036_20230114_02_T1,2023-01-14 17:08:22.860063+00:00,26.24,,2023-01-14 17:08:22.860063+00:00,2023-01-14,2023,-98.02325,34.80833,1.8091666666666668,1.7166666666666668,1.61
Acme,34.60222,-98.23033,LC08_L2SP_028036_20230122_02_T1,2023-01-22 17:08:19.960827+00:00,22.45,-0.2897244893711569,2023-01-22 17:08:19.960827+00:00,2023-01-22,2023,-98.02325,34.80833,1.8025,1.74,1.6308333333333334
Acme,34.60179,-98.25608,LC09_L2SP_028036_20230130_02_T2,2023-01-30 17:08:26.592298+00:00,17.43,,2023-01-30 17:08:26.592298+00:00,2023-01-30,2023,-98.02325,34.80833,1.6783333333333335,1.5858333333333334,1.6091666666666669
Acme,34.60207,-98.26114,LC08_L2SP_028036_20230207_02_T2,2023-02-07 17:08:20.957651+00:00,99.97,,2023-02-07 17:08:20.957651+00:00,2023-02-07,2023,-98.02325,34.80833,1.6541666666666666,1.6004166666666668,1.6108333333333336
Acme,34.60191,-98.27491,LC09_L2SP_028036_20230215_02_T1,2023-02-15 17:08:26.630582+00:00,0.32,-0.2671786362892202,2023-02-15 17:08:26.630582+00:00,2023-02-15,2023,-98.02325,34.80833,1.6117391304347826,1.5669565217391304,1.55
Acme,34.60178,-98.22361,LC08_L2SP_028036_20230223_02_T1,2023-02-23 17:08:04.532061+00:00,0.36,-0.2672133132285829,2023-02-23 17:08:04.532061+00:00,2023-02-23,2023,-98.02325,34.80833,1.6341666666666665,1.5716666666666665,1.5529166666666667
Acme,34.60191,-98.24472,LC09_L2SP_028036_20230303_02_T1,2023-03-03 17:08:13.770213+00:00,0.01,-0.2561177552691724,2023-03-03 17:08:13.770213+00:00,2023-03-03,2023,-98.02325,34.80833,1.6108333333333336,1.5683333333333334,1.5566666666666666
Acme,34.60209,-98.23422,LC08_L2SP_028036_20230311_02_T1,2023-03-11 17:07:58.230662+00:00,13.95,-0.2501365254201174,2023-03-11 17:07:58.230662+00:00,2023-03-11,2023,-98.02325,34.80833,1.6195833333333332,1.5675000000000001,1.555
Acme,34.60218,-98.24605,LC09_L2SP_028036_20230319_02_T1,2023-03-19 17:08:07.077490+00:00,0.3,-0.2491087073309089,2023-03-19 17:08:07.077490+00:00,2023-03-19,2023,-98.02325,34.80833,1.6395833333333334,1.5745833333333332,1.55875
