station_name,lat,lon,scene_id,date,cloud_cover,ndmi_mean
Acme,34.60192,-98.22488,LC08_L2SP_028036_20230106_02_T1,2023-01-06 17:08:23.768446+00:00,48.04,
Acme,34.60189,-98.22748,LC09_L2SP_028036_20230114_02_T1,2023-01-14 17:08:22.860063+00:00,26.24,
Acme,34.60222,-98.23033,LC08_L2SP_028036_20230122_02_T1,2023-01-22 17:08:19.960827+00:00,22.45,-0.2897244893711569
Acme,34.60179,-98.25608,LC09_L2SP_028036_20230130_02_T2,2023-01-30 17:08:26.592298+00:00,17.43,
Acme,34.60207,-98.26114,LC08_L2SP_028036_20230207_02_T2,2023-02-07 17:08:20.957651+00:00,99.97,
Acme,34.60191,-98.27491,LC09_L2SP_028036_20230215_02_T1,2023-02-15 17:08:26.630582+00:00,0.32,-0.2671786362892202
Acme,34.60178,-98.22361,LC08_L2SP_028036_20230223_02_T1,2023-02-23 17:08:04.532061+00:00,0.36,-0.2672133132285829
Acme,34.60191,-98.24472,LC09_L2SP_028036_20230303_02_T1,2023-03-03 17:08:13.770213+00:00,0.01,-0.2561177552691724
Acme,34.60209,-98.23422,LC08_L2SP_028036_20230311_02_T1,2023-03-11 17:07:58.230662+00:00,13.95,-0.25013652542011744
Acme,34.60218,-98.24605,LC09_L2SP_028036_20230319_02_T1,2023-03-19 17:08:07.077490+00:00,0.3,-0.24910870733090892
Acme,34.60209,-98.23577,LC08_L2SP_028036_20230327_02_T1,2023-03-27 17:07:48.715943+00:00,69.72,
Acme,34.60228,-98.23717,LC09_L2SP_028036_20230404_02_T1,2023-04-04 17:07:56.639938+00:00,96.28,
Acme,34.602,-98.21658,LC08_L2SP_028036_20230412_02_T1,2023-04-12 17:07:33.096045+00:00,0.02,-0.15393128341233392
Acme,34.60221,-98.25013,LC09_L2SP_028036_20230420_02_T1,2023-04-20 17:07:50.446993+00:00,35.44,-0.05743713067121273
Acme,34.60193,-98.25026,LC08_L2SP_028036_20230428_02_T2,2023-04-28 17:07:29.252668+00:00,100.0,
Acme,34.60206,-98.24207,LC09_L2SP_028036_20230506_02_T1,2023-05-06 17:07:38.552689+00:00,4.75,
Acme,34.60214,-98.24751,LC08_L2SP_028036_20230514_02_T2,2023-05-14 17:07:16.220826+00:00,99.91,
Acme,34.60221,-98.24894,LC09_L2SP_028036_20230522_02_T1,2023-05-22 17:07:29.898816+00:00,81.11,0.13688987071668354
Acme,34.60217,-98.2038,LC08_L2SP_028036_20230530_02_T1,2023-05-30 17:07:18.018883+00:00,4.49,0.11007406371907745
Acme,34.60223,-98.27356,LC09_L2SP_028036_20230607_02_T1,2023-06-07 17:07:25.040520+00:00,54.08,
Acme,34.60215,-98.20859,LC08_L2SP_028036_20230615_02_T1,2023-06-15 17:07:27.088016+00:00,8.69,0.08809733239673517
Acme,34.60224,-98.21616,LC09_L2SP_028036_20230623_02_T1,2023-06-23 17:07:18.660691+00:00,95.57,
Acme,34.60206,-98.21542,LC08_L2SP_028036_20230701_02_T1,2023-07-01 17:07:36.317816+00:00,63.81,
Acme,34.60194,-98.24165,LC09_L2SP_028036_20230709_02_T1,2023-07-09 17:07:33.860615+00:00,53.65,0.1425851171843961
Acme,34.60175,-98.20714,LC08_L2SP_028036_20230717_02_T1,2023-07-17 17:07:41.666697+00:00,0.0,0.1034292613287578
