station_name,lat,lon,scene_id,date,cloud_cover,ndmi_mean,datetime,date_only,year
Acme,34.60186,-98.23508,LC09_L2SP_028036_20240101_02_T2,2024-01-01 17:08:16.305925+00:00,89.62,,2024-01-01 17:08:16.305925+00:00,2024-01-01,2024
Acme,34.60168,-98.22056,LC08_L2SP_028036_20240109_02_T1,2024-01-09 17:08:06.126040+00:00,14.82,-0.2375307820244143,2024-01-09 17:08:06.126040+00:00,2024-01-09,2024
Acme,34.60195,-98.23894,LC09_L2SP_028036_20240117_02_T1,2024-01-17 17:08:15.844389+00:00,0.06,-0.2576292994291284,2024-01-17 17:08:15.844389+00:00,2024-01-17,2024
Acme,34.60202,-98.21052,LC08_L2SP_028036_20240125_02_T2,2024-01-25 17:08:00.076607+00:00,92.97,,2024-01-25 17:08:00.076607+00:00,2024-01-25,2024
Acme,34.60219,-98.25751,LC09_L2SP_028036_20240202_02_T1,2024-02-02 17:08:17.772156+00:00,79.9,,2024-02-02 17:08:17.772156+00:00,2024-02-02,2024
Acme,34.60173,-98.25456,LC08_L2SP_028036_20240210_02_T2,2024-02-10 17:08:05.519127+00:00,99.96,,2024-02-10 17:08:05.519127+00:00,2024-02-10,2024
Acme,34.60218,-98.23956,LC09_L2SP_028036_20240218_02_T1,2024-02-18 17:08:09.944811+00:00,0.02,-0.2503042935051225,2024-02-18 17:08:09.944811+00:00,2024-02-18,2024
Acme,34.6018,-98.26016,LC08_L2SP_028036_20240226_02_T1,2024-02-26 17:08:00.546299+00:00,34.3,-0.2326669266041624,2024-02-26 17:08:00.546299+00:00,2024-02-26,2024
Acme,34.60186,-98.26428,LC09_L2SP_028036_20240305_02_T1,2024-03-05 17:08:10.547298+00:00,0.92,-0.2385685534512255,2024-03-05 17:08:10.547298+00:00,2024-03-05,2024
Acme,34.60171,-98.24625,LC08_L2SP_028036_20240313_02_T1,2024-03-13 17:07:49.778657+00:00,0.03,-0.2245357794798917,2024-03-13 17:07:49.778657+00:00,2024-03-13,2024
Acme,34.60191,-98.27926,LC09_L2SP_028036_20240321_02_T2,2024-03-21 17:08:07.664278+00:00,92.67,,2024-03-21 17:08:07.664278+00:00,2024-03-21,2024
Acme,34.60202,-98.22302,LC08_L2SP_028036_20240329_02_T1,2024-03-29 17:07:35.543942+00:00,89.39,,2024-03-29 17:07:35.543942+00:00,2024-03-29,2024
